CPU: Intel Architectural Perfmon, speed 1199 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
samples  %        linenr info                 image name               symbol name
7        2.3e-04  /home/marco/Documenti/hmm_linux/sampleB.c:8 /home/marco/Documenti/hmm_linux/hmm.so _sampleB_p
7        2.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_m_colindxeq_i
7        2.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_m_rowindxeq_i
7        2.3e-04  /home/marco/Documenti/hmm_linux/assign_nodes.c:19 /home/marco/Documenti/hmm_linux/hmm.so assign_nodes2
6        2.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _InitVett_i
6        2.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna1_v_segmv_d
6        2.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _promuovi_i
6        2.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _vettore3s_i
5        1.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so StrBilanciam
5        1.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _cancellaVett_i
5        1.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _incr1_v_indx_i
5        1.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _mergesort_array_i
5        1.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _min_s_i
5        1.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _ordine_i
5        1.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma1_m_i
4        1.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna1_v_indx_d
4        1.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _copia_v_d
4        1.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _max_v_d
4        1.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _min_s_d
4        1.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma1_vs_d
4        1.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _vettore3s_d
4        1.3e-04  (no location information)   /lib/libreadline.so.6.0  /lib/libreadline.so.6.0
3        1.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _setdiff1_i
3        1.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_vv_eq_i
2        6.7e-05  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna1_m_vv_i
2        6.7e-05  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _max_s_i
1        3.3e-05  (no location information)   /home/marco/Documenti/hmm_linux/create_mod.so _creaVett_d
1        3.3e-05  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna1_v_indxNA_d
1        3.3e-05  (no location information)   /lib/libnss_compat-2.10.1.so /lib/libnss_compat-2.10.1.so
1        3.3e-05  (no location information)   /lib/libnss_nis-2.10.1.so /lib/libnss_nis-2.10.1.so
1        3.3e-05  (no location information)   /usr/lib/R/library/methods/libs/methods.so /usr/lib/R/library/methods/libs/methods.so
